Timestamp,Length_Sig1,Length_Sig2,Length_Diff,Lag_Samples,Lag_Seconds
2026-06-09 18:50:56,132300,132300,0,7,0.0001587
2026-06-16 12:58:49,441000,441000,0,-51124,-1.1592744
2026-06-16 12:58:50,132300,132300,0,7,0.0001587
2026-06-16 13:10:11,441000,441000,0,-51124,-1.1592744
2026-06-16 13:10:12,132300,132300,0,7,0.0001587
2026-06-16 13:11:39,441000,441000,0,-51124,-1.1592744
2026-06-16 13:11:41,132300,132300,0,7,0.0001587
2026-06-16 13:11:57,441000,441000,0,-51124,-1.1592744
2026-06-16 13:11:58,132300,132300,0,7,0.0001587
2026-06-16 13:12:48,441000,441000,0,-51124,-1.1592744
2026-06-16 13:12:49,132300,132300,0,7,0.0001587
2026-06-16 13:17:48,441000,441000,0,-51114,-1.1590476
2026-06-16 13:17:50,132300,132300,0,8,0.0001814
2026-06-16 13:55:56,441000,441000,0,-51124,-1.1592744
2026-06-16 13:55:58,132300,132300,0,7,0.0001587
2026-06-16 13:56:25,441000,441000,0,-51124,-1.1592744
2026-06-16 13:56:27,132300,132300,0,7,0.0001587
2026-06-16 13:57:16,441000,441000,0,-51124,-1.1592744
2026-06-16 13:57:19,132300,132300,0,7,0.0001587
2026-06-16 14:00:31,441000,441000,0,-51124,-1.1592744
2026-06-16 14:00:33,132300,132300,0,7,0.0001587
2026-06-16 13:48:35,441000,441000,0,3068,0.0695692
2026-06-16 13:49:17,132300,132300,0,138,0.0031293
