Timestamp,Length_Sig1,Length_Sig2,Length_Diff,Lag_Samples,Lag_Seconds
2026-05-17 00:05:56,144000,144000,0,2419,0.0503958
2026-05-17 00:09:37,144000,144000,0,2664,0.0555000
2026-05-17 00:09:50,144000,144000,0,2614,0.0544583
2026-05-17 00:09:59,144000,144000,0,2702,0.0562917
2026-05-17 00:10:44,144000,144000,0,2834,0.0590417
2026-05-17 00:13:15,144000,144000,0,2674,0.0557083
2026-05-17 00:13:24,144000,144000,0,2738,0.0570417
2026-05-17 00:13:32,144000,144000,0,2586,0.0538750
2026-05-17 00:13:40,144000,144000,0,2664,0.0555000
2026-05-17 00:13:48,144000,144000,0,2970,0.0618750
2026-05-17 00:13:55,144000,144000,0,2887,0.0601458
2026-05-17 00:14:03,144000,144000,0,2655,0.0553125
2026-05-17 00:14:18,144000,144000,0,2944,0.0613333
2026-05-17 00:14:25,144000,144000,0,2498,0.0520417
2026-05-17 00:14:32,144000,144000,0,2849,0.0593542
2026-05-17 00:14:41,144000,144000,0,2968,0.0618333
2026-05-17 00:14:48,144000,144000,0,2107,0.0438958
2026-05-17 12:19:04,144000,144000,0,-143999,-2.9999792
2026-05-17 12:20:37,144000,144000,0,-143999,-2.9999792
2026-05-17 12:21:33,144000,144000,0,-143999,-2.9999792
2026-05-17 13:04:41,144000,144000,0,-38812,-0.8085833
2026-05-17 13:04:52,144000,144000,0,2693,0.0561042
2026-05-17 13:05:11,144000,144000,0,2907,0.0605625
2026-05-17 13:08:02,720000,720000,0,2915,0.0607292
2026-05-17 13:26:33,1440000,1440000,0,-340555,-7.0948958
2026-05-17 13:26:34,1440000,1440000,0,-1439999,-29.9999792
2026-05-17 13:27:14,240000,240000,0,-239999,-4.9999792
2026-05-17 13:27:15,240000,240000,0,-239999,-4.9999792
2026-05-17 13:29:14,240000,240000,0,1696,0.0353333
2026-05-17 13:29:15,240000,240000,0,1950,0.0406250
2026-05-17 13:30:19,240000,240000,0,2527,0.0526458
2026-05-17 13:30:19,240000,240000,0,2891,0.0602292
2026-05-17 13:32:47,240000,240000,0,2844,0.0592500
2026-05-17 13:32:48,240000,240000,0,2694,0.0561250
2026-05-18 09:22:14,240000,240000,0,1938,0.0403750
2026-05-18 09:22:39,240000,240000,0,2094,0.0436250
2026-05-18 09:24:26,240000,240000,0,2639,0.0549792
2026-05-18 09:24:31,240000,240000,0,2503,0.0521458
2026-05-18 09:25:30,240000,240000,0,141502,2.9479583
2026-05-18 09:25:48,240000,240000,0,74829,1.5589375
2026-05-18 09:26:33,240000,240000,0,2284,0.0475833
2026-05-18 09:26:37,240000,240000,0,1882,0.0392083
2026-05-18 09:27:25,240000,240000,0,92943,1.9363125
2026-05-18 09:27:31,240000,240000,0,-45891,-0.9560625
2026-05-18 09:29:32,240000,240000,0,3331,0.0693958
2026-05-18 09:29:46,240000,240000,0,147123,3.0650625
2026-05-18 09:32:13,240000,240000,0,3102,0.0646250
2026-05-18 09:37:49,240000,240000,0,2627,0.0547292
2026-05-18 09:40:23,240000,240000,0,-2671,-0.0556458
2026-05-18 09:40:34,240000,240000,0,-2766,-0.0576250
2026-05-18 09:50:08,240000,240000,0,-2869,-0.0597708
2026-05-18 09:50:17,240000,240000,0,-2875,-0.0598958
2026-05-18 10:03:32,120000,120000,-2755,-0.0573958,0.1
2026-05-18 10:03:39,120000,120000,4319,0.0899792,0.1
2026-05-18 10:03:55,120000,120000,-3372,-0.0702500,0.1
2026-05-18 10:04:01,120000,120000,-2782,-0.0579583,0.1
2026-05-18 10:05:18,120000,120000,-2574,-0.0536250,0.0
2026-05-18 10:05:23,120000,120000,-2691,-0.0560625,0.0
2026-05-18 10:07:52,120000,120000,-2840,-0.0591667,0.0
2026-05-18 10:07:58,120000,120000,-2386,-0.0497083,0.0
2026-05-18 10:09:13,120000,120000,-2915,-0.0607292,0.0
2026-05-18 10:09:18,120000,120000,-3130,-0.0652083,0.0
2026-05-18 10:20:10,240000,240000,0,3151,0.0656458
2026-05-18 10:20:18,240000,240000,0,1943,0.0404792
